id,ingredient_name
250,7 cl Lemon Juice
250,1 Slice Lemon Peel
250,ice
251,1.5 oz  Vodka
251,0.75 oz  Dry Vermouth
251,1  olive_garnish
252,8 oz soda
252,0.5 shot Lime Juice
252,1.5 shot Vodka
253,4 cl Vodka
253,10 cl soda
253,1 Slice Lemon Peel
254,0.75 oz  Orange Liqueur
254,0.75 oz  Gin
254,1 tblsp  Pineapple juice
255,2 oz  Whiskey
255,Juice of 0.5  Lemon
255,simple_syrup
255,cherry
255,0.5 slice  Lemon
256,4cl Gin
256,3cl Orange Liqueur
256,2cl Lemon Juice
257,2 oz  Vodka
257,1 oz  Coffee liqueur
257,Milk
258,2 oz Pot Wine
258,5 oz  soda
258,ice
259,1 bottle  Pot Wine
259,2  Lemon
259,8 oz  Orange juice
259,3  Orange
259,8 oz  Pineapple juice
260,1.5 oz Tequila
260,0.25 oz Bitters
260,0.75 oz Lime Juice
260,0.5 oz Orange Juice
260,simple_syrup
260,Salt
261,3 cl rum
261,1.5 cl Herbal Liqueur
261,1.5 cl Orange Liqueur
261,1.5 cl Lime Juice
262,5 cl  Orange Liqueur
262,2 cl  Lemon juice
262,ice
262,Lemon
